,filename,h0,w0,h_ratio,w_ratio,w_pad,h_pad
0,bDtPvveUyz0PHka-ssj7ug.jpg,1791,4608,0.13847012841987716,0.1388888888888889,16.0,132.0
1,X6ecNuJIbb7OXPtzsVJryA.jpg,2086,4608,0.13854266538830298,0.1388888888888889,16.0,111.5
2,fgxUAUqeRCCLL4sH-tgC2A.jpg,2086,4608,0.13854266538830298,0.1388888888888889,16.0,111.5
3,36iNN_5lKC_CrOiFjmcF9w.jpg,2136,4590,0.13904494382022473,0.1394335511982571,16.0,107.5
4,4dJUlF0yIABNXB0WVh2cpg.jpg,2237,4608,0.13857845328565044,0.1388888888888889,16.0,101.0
5,0KohgmStOYkLZM6v-Frfew.jpg,2316,4608,0.13860103626943004,0.1388888888888889,16.0,95.5
6,82kED-EcvmG4Ptj98rcQug.jpg,2326,4608,0.13886500429922613,0.1388888888888889,16.0,94.5
7,j9GRbVPCNom2frhGSPB8Ow.jpg,1810,3580,0.17845303867403314,0.1787709497206704,16.0,94.5
8,F3rQytc1LLTNo7Us-k7jog.jpg,1810,3580,0.17845303867403314,0.1787709497206704,16.0,94.5
9,pqVP5zno7C1ib8VxDlwF_Q.jpg,1810,3580,0.17845303867403314,0.1787709497206704,16.0,94.5
10,9u03HtdeKJ11Klu_MTJk6g.jpg,2335,4608,0.13875802997858672,0.1388888888888889,16.0,94.0
11,7k1EvXn7ogmsHnZpmsv-gw.jpg,2214,4274,0.14950316169828365,0.14974262985493683,16.0,90.5
12,tTgFAOl40AKV9MZwp1CXEw.jpg,2414,4608,0.1387738193869097,0.1388888888888889,16.0,88.5
13,2178B0tL8tGHpyKJvYxekw.jpg,2414,4608,0.1387738193869097,0.1388888888888889,16.0,88.5
14,SFhuI4R6dyCdgwFYmMeg7A.jpg,2414,4608,0.1387738193869097,0.1388888888888889,16.0,88.5
15,7tpbb3x-sa296Vy41JCAZg.jpg,2414,4608,0.1387738193869097,0.1388888888888889,16.0,88.5
16,G7SL3pKar5rYB-m5Jh-isQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
17,ntsUcjR6_QrM1wzVWuynvw.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
18,5ZfBb1cwp2LuXv_ofqMXIQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
19,2n2pXT0udgw0LqOiAQlsUw.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
20,apx8zPitYOoSXHC03WB0Ag.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
21,0Pe-GrrTTmMp60oA0woJIQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
22,vxh2HdAtKugUh1dm_4g2rQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
23,3DTnqnLTFT4V8NA6ZML7LA.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
24,c17Z9CTe6XkCqnCgI-2Qig.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
25,U6RnrAjXMMBCX4SDEnUScQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
26,ZqPQ4iaH-cEuqbmr5S5PpQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
27,nqWNfTa9nKQfUqpdKtsk6w.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
28,GWyr-zc0q6lqQZGHnoWxLQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
29,7xKvRIFzFLfnmwMPGFjZfQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
30,NSTIs_Ay6U-Z8k6HNzWr4A.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
31,61Ptilwk11hi8E8MIdahWg.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
32,H71zF88eb4W22yopnIk1Bg.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
33,Z-S8P3jkggGUP9W8YZKLvA.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
34,64iCWzwvPY_Z9JriwuGO1g.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
35,DRim12f8iv5Yx1I96xlMVA.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
36,-XbuVbJprvlUDmLVkYEZnw.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
37,lvGNmoEkBcG60pdOG_yukg.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
38,UbU685835d9NIcvp4CkDVA.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
39,HWnP84f3HrXe-3rq8OKh2Q.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
40,KEKfM4S44nq28VSZtzNAew.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
41,AGF-pCYFC20VtpYPSk4FZA.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
42,AFkWOEKRstfGt8MwC0kICQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
43,UNQOxFenJ9LOTC1Wqhvwjw.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
44,Vc054zq-JSmqDfOStavz-g.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
45,L5NvEU03Y-m2-yWSaqj3Kg.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
46,iBUxXU6f2pn_k1zOh04mZQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
47,UGtlwPPOtQbjMLqiomRhUg.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
48,GYe8rr1htjZ82a83M5Ca6g.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
49,PlHifIp1ShQGX1HnNvX_cQ.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
50,_69EblZbqXUcjYKu7myKDg.jpg,2160,4096,0.15601851851851853,0.15625,16.0,87.5
