filename,obj_id,xmin,ymin,xmin_ratio,ymin_ratio
--NSVcUgfVhFd6uzkqHOOg.png,48,3175,2133,0.6484885620915033,0.5227941176470589
--NSVcUgfVhFd6uzkqHOOg.png,49,3199,2255,0.653390522875817,0.5526960784313726
--WOpVBuHlCygAUADkttpg.png,56,2268,1741,0.4632352941176471,0.4267156862745098
--WOpVBuHlCygAUADkttpg.png,66,2353,1529,0.4805964052287582,0.3747549019607843
--WOpVBuHlCygAUADkttpg.png,70,951,1063,0.19424019607843138,0.26053921568627453
--WOpVBuHlCygAUADkttpg.png,71,1000,1226,0.2042483660130719,0.30049019607843136
--WOpVBuHlCygAUADkttpg.png,72,969,1314,0.19791666666666666,0.3220588235294118
--WOpVBuHlCygAUADkttpg.png,73,963,1495,0.19669117647058823,0.36642156862745096
--jRsD9anHdGxv4ZOCQktA.png,45,3064,2012,0.5066137566137566,0.39920634920634923
--jRsD9anHdGxv4ZOCQktA.png,46,3063,2060,0.5064484126984127,0.4087301587301587
--tczNya4_w5IhU9DeRMHw.png,33,1410,1477,0.28799019607843135,0.3620098039215686
--vWKSR3Rh8quTfK4AuKOQ.png,138,2774,2955,0.464190093708166,0.5933734939759037
--vWKSR3Rh8quTfK4AuKOQ.png,139,2778,2891,0.464859437751004,0.5805220883534137
-0C1J9CvgFP4BTVLXNeNZA.png,33,1582,1662,0.2746527777777778,0.4073529411764706
-0C1J9CvgFP4BTVLXNeNZA.png,46,4431,1749,0.7692708333333333,0.42867647058823527
-0C1J9CvgFP4BTVLXNeNZA.png,49,3711,1944,0.6442708333333333,0.4764705882352941
-0C1J9CvgFP4BTVLXNeNZA.png,53,3327,1941,0.5776041666666667,0.47573529411764703
-0C1J9CvgFP4BTVLXNeNZA.png,54,3188,1939,0.5534722222222223,0.47524509803921566
-0C1J9CvgFP4BTVLXNeNZA.png,55,3337,1839,0.5793402777777777,0.45073529411764707
-0C1J9CvgFP4BTVLXNeNZA.png,56,3288,1817,0.5708333333333333,0.445343137254902
-0C1J9CvgFP4BTVLXNeNZA.png,58,3058,1766,0.5309027777777777,0.432843137254902
-0C1J9CvgFP4BTVLXNeNZA.png,65,2472,1739,0.42916666666666664,0.4262254901960784
-0Q9X3KqBrhdlGzap-YToQ.png,130,1976,2323,0.4035947712418301,0.5693627450980392
-0Q9X3KqBrhdlGzap-YToQ.png,131,1879,2093,0.3837826797385621,0.5129901960784313
-0Q9X3KqBrhdlGzap-YToQ.png,162,3621,2512,0.7395833333333334,0.615686274509804
-0QdotcnWZMgDLHELjMeoQ.png,50,2130,2424,0.43504901960784315,0.5941176470588235
-0QdotcnWZMgDLHELjMeoQ.png,117,2787,2514,0.5692401960784313,0.6161764705882353
-0xySwkm6plG4nznHLQcHg.png,44,3237,3109,0.51875,0.5978846153846153
-0xySwkm6plG4nznHLQcHg.png,56,4445,2682,0.7123397435897436,0.5157692307692308
-0xySwkm6plG4nznHLQcHg.png,57,4735,2346,0.7588141025641025,0.4511538461538461
-1Z28Rrc91syhk-y8Bp_cg.png,16,3108,2152,0.6348039215686274,0.5274509803921569
-1Z28Rrc91syhk-y8Bp_cg.png,22,3136,2263,0.6405228758169934,0.5546568627450981
-24xIsrQS_XSpHHgmmOB2g.png,97,2136,2282,0.4362745098039216,0.5593137254901961
-24xIsrQS_XSpHHgmmOB2g.png,100,993,2523,0.2028186274509804,0.6183823529411765
-24xIsrQS_XSpHHgmmOB2g.png,101,923,1903,0.18852124183006536,0.466421568627451
-24xIsrQS_XSpHHgmmOB2g.png,102,2543,2315,0.5194035947712419,0.5674019607843137
-2H8gOJp_LEvus2Y6pCIOA.png,101,4252,1811,0.7115127175368139,0.3636546184738956
-2H8gOJp_LEvus2Y6pCIOA.png,105,4308,2019,0.7208835341365462,0.405421686746988
-2H8gOJp_LEvus2Y6pCIOA.png,130,2789,2103,0.46670013386880854,0.422289156626506
-2H8gOJp_LEvus2Y6pCIOA.png,132,2888,1933,0.48326639892904955,0.3881526104417671
-2H8gOJp_LEvus2Y6pCIOA.png,133,2912,2055,0.48728246318607765,0.4126506024096386
-3Ce66lOpbY2j4Tgngr-dQ.png,33,3787,1646,0.7734885620915033,0.4034313725490196
-3WWvMk6i1YgKC9ECG2HEA.png,40,2160,2222,0.4411764705882353,0.5446078431372549
-3bnLdeHkonpmCJj3a1X_w.png,57,3506,2427,0.7160947712418301,0.5948529411764706
-3qDI4rcmarHQRV9FDKfeA.png,44,2730,2591,0.4568273092369478,0.520281124497992
-3qDI4rcmarHQRV9FDKfeA.png,47,1675,2606,0.28028781793842034,0.523293172690763
-3qDI4rcmarHQRV9FDKfeA.png,62,2972,2396,0.49732262382864795,0.4811244979919679
-3qDI4rcmarHQRV9FDKfeA.png,66,3021,2661,0.5055220883534136,0.5343373493975904
-3qDI4rcmarHQRV9FDKfeA.png,67,3003,2837,0.5025100401606426,0.5696787148594378
-4Kw4AJqOzZG8q5le7bGlQ.png,107,2787,2040,0.5692401960784313,0.5
-4oZ0SAVEd4ijmony0t1Zw.png,101,2328,2223,0.4217391304347826,0.4832608695652174
-4x3QnUx01ZfYnZPVE9DNA.png,17,1302,3627,0.18836805555555555,0.6296875
-4x3QnUx01ZfYnZPVE9DNA.png,48,4906,3296,0.7097800925925926,0.5722222222222222
-4x3QnUx01ZfYnZPVE9DNA.png,94,2810,3636,0.40653935185185186,0.63125
-4x3QnUx01ZfYnZPVE9DNA.png,101,3574,3457,0.5170717592592593,0.6001736111111111
-4x3QnUx01ZfYnZPVE9DNA.png,102,3578,3506,0.5176504629629629,0.6086805555555556
-5Bq-gd3iHCFkWdCjjfWlA.png,59,1003,1945,0.2048611111111111,0.47671568627450983
-5Bq-gd3iHCFkWdCjjfWlA.png,80,1890,2120,0.3860294117647059,0.5196078431372549
-5Bq-gd3iHCFkWdCjjfWlA.png,180,870,2023,0.17769607843137256,0.49583333333333335
-5Tar0aE6kVomCLac556dA.png,48,2306,1877,0.4709967320261438,0.4600490196078431
